iter	Passed	Remaining
0	226	226627
1	228	113826
2	229	76161
3	230	57368
4	232	46264
5	233	38705
6	234	33294
7	235	29232
8	236	26073
9	237	23544
10	239	21491
11	240	19771
12	241	18314
13	242	17067
14	243	15990
15	244	15051
16	246	14275
17	248	13537
18	249	12885
19	250	12284
20	251	11736
21	252	11245
22	254	10790
23	255	10377
24	256	9998
25	257	9646
26	258	9320
27	259	9015
28	261	8753
29	262	8494
30	264	8260
31	265	8025
32	266	7804
33	267	7600
34	270	7450
35	272	7290
36	273	7116
37	274	6953
38	278	6851
39	279	6710
40	281	6573
41	283	6460
42	286	6367
43	287	6246
44	289	6134
45	290	6029
46	293	5954
47	295	5854
48	296	5750
49	297	5651
50	299	5568
51	300	5483
52	302	5402
53	303	5321
54	306	5269
55	307	5188
56	309	5112
57	310	5042
58	311	4969
59	312	4900
60	313	4831
61	315	4766
62	316	4711
63	318	4652
64	320	4609
65	321	4556
66	323	4500
67	323	4436
68	324	4384
69	332	4416
70	334	4376
71	336	4339
72	338	4299
73	340	4258
74	341	4212
75	343	4170
76	344	4127
77	345	4082
78	346	4039
79	355	4092
80	357	4061
81	359	4025
82	365	4041
83	370	4041
84	371	4002
85	373	3972
86	375	3944
87	377	3915
88	383	3926
89	385	3893
90	389	3895
91	391	3860
92	392	3828
93	396	3824
94	400	3816
95	401	3783
96	403	3756
97	405	3735
98	407	3707
99	408	3676
100	414	3685
101	414	3650
102	415	3621
103	416	3592
104	418	3564
105	419	3537
106	420	3510
107	422	3485
108	423	3460
109	424	3436
110	427	3427
111	433	3436
112	436	3427
113	440	3420
114	441	3396
115	442	3370
116	446	3366
117	448	3349
118	449	3325
119	451	3310
120	455	3307
121	456	3286
122	457	3260
123	458	3242
124	463	3247
125	465	3228
126	466	3206
127	467	3182
128	472	3190
129	473	3169
130	474	3148
131	475	3129
132	476	3109
133	478	3089
134	479	3070
135	480	3052
136	481	3035
137	484	3026
138	485	3009
139	486	2990
140	488	2973
141	489	2956
142	490	2939
143	491	2922
144	492	2905
145	493	2888
146	494	2871
147	496	2855
148	497	2838
149	500	2834
150	501	2819
151	502	2803
152	503	2787
153	504	2772
154	506	2759
155	507	2744
156	508	2731
157	509	2717
158	510	2701
159	512	2688
160	514	2681
161	515	2668
162	516	2654
163	518	2640
164	519	2626
165	520	2612
166	521	2601
167	522	2588
168	523	2575
169	524	2561
170	525	2548
171	526	2535
172	528	2526
173	529	2515
174	531	2504
175	532	2492
176	533	2480
177	534	2468
178	535	2457
179	536	2445
180	537	2431
181	538	2419
182	539	2408
183	540	2397
184	541	2386
185	544	2384
186	545	2373
187	546	2362
188	547	2351
189	548	2339
190	549	2328
191	550	2318
192	552	2308
193	553	2298
194	554	2288
195	555	2277
196	556	2267
197	557	2257
198	560	2257
199	562	2248
200	563	2239
201	564	2230
202	566	2223
203	567	2214
204	568	2206
205	569	2196
206	570	2187
207	571	2177
208	573	2171
209	575	2164
210	576	2156
211	577	2147
212	578	2138
213	579	2129
214	580	2121
215	582	2114
216	583	2106
217	584	2098
218	585	2089
219	587	2081
220	589	2077
221	590	2070
222	591	2062
223	592	2054
224	594	2046
225	595	2038
226	596	2030
227	597	2022
228	598	2014
229	599	2006
230	600	1999
231	601	1991
232	602	1984
233	604	1978
234	605	1972
235	606	1964
236	607	1957
237	608	1949
238	610	1942
239	611	1935
240	612	1927
241	613	1920
242	614	1913
243	615	1905
244	616	1898
245	618	1895
